station,valid,tmpc,relh,drct,sknt,mslp,p01m
AMW,2019-01-02 02:15,M,M,0.00,0.00,M,M
AMW,2019-01-02 02:20,M,M,0.00,0.00,M,M
AMW,2019-01-02 02:25,M,M,0.00,0.00,M,M
AMW,2019-01-02 02:35,M,M,0.00,0.00,M,M
AMW,2019-01-02 02:45,M,M,220.00,3.00,M,M
AMW,2019-01-02 02:50,M,M,0.00,0.00,M,M
AMW,2019-01-02 02:53,-10.61,84.07,0.00,0.00,1029.00,0.00
AMW,2019-01-02 02:55,M,M,0.00,0.00,M,M
AMW,2019-01-02 03:00,M,M,0.00,0.00,M,M
AMW,2019-01-02 03:05,M,M,0.00,0.00,M,M
AMW,2019-01-02 03:15,M,M,0.00,0.00,M,M
AMW,2019-01-02 03:20,M,M,0.00,0.00,M,M
AMW,2019-01-02 03:25,M,M,0.00,0.00,M,M
AMW,2019-01-02 03:30,M,M,0.00,0.00,M,M
AMW,2019-01-02 03:35,M,M,270.00,3.00,M,M
AMW,2019-01-02 03:40,M,M,0.00,0.00,M,M
AMW,2019-01-02 03:45,M,M,290.00,3.00,M,M
AMW,2019-01-02 03:50,M,M,280.00,3.00,M,M
AMW,2019-01-02 03:53,-11.11,84.01,270.00,3.00,1027.90,0.00
AMW,2019-01-02 03:55,M,M,260.00,3.00,M,M
AMW,2019-01-02 04:00,M,M,260.00,3.00,M,M
AMW,2019-01-02 04:05,M,M,0.00,0.00,M,M
AMW,2019-01-02 04:10,M,M,0.00,0.00,M,M
AMW,2019-01-02 04:15,M,M,0.00,0.00,M,M
AMW,2019-01-02 04:20,M,M,0.00,0.00,M,M
AMW,2019-01-02 04:25,M,M,0.00,0.00,M,M
AMW,2019-01-02 04:30,M,M,0.00,0.00,M,M
AMW,2019-01-02 04:35,M,M,0.00,0.00,M,M
AMW,2019-01-02 04:40,M,M,0.00,0.00,M,M
AMW,2019-01-02 04:45,M,M,0.00,0.00,M,M
AMW,2019-01-02 04:50,M,M,250.00,3.00,M,M
AMW,2019-01-02 04:53,-10.00,80.10,0.00,0.00,1027.20,0.00
AMW,2019-01-02 04:55,M,M,240.00,3.00,M,M
AMW,2019-01-02 05:00,M,M,0.00,0.00,M,M
AMW,2019-01-02 05:10,M,M,230.00,4.00,M,M
AMW,2019-01-02 05:15,M,M,240.00,4.00,M,M
AMW,2019-01-02 05:20,M,M,240.00,5.00,M,M
AMW,2019-01-02 05:25,M,M,240.00,5.00,M,M
AMW,2019-01-02 05:30,M,M,230.00,4.00,M,M
AMW,2019-01-02 05:35,M,M,230.00,4.00,M,M
AMW,2019-01-02 05:40,M,M,220.00,5.00,M,M
AMW,2019-01-02 05:45,M,M,220.00,5.00,M,M
AMW,2019-01-02 05:50,M,M,230.00,5.00,M,M
AMW,2019-01-02 05:53,-10.00,80.10,230.00,5.00,1026.70,0.00
AMW,2019-01-02 05:55,M,M,240.00,5.00,M,M
